exhibition,DAY,count
artbox,0,2
artzoo,0,4
colourful garden of lights,0,6
dande-lier,0,5
gastrobeats,0,43
home,0,18
horizontal interference,0,46
HYBYCOZO,0,12
moonflower,0,21
ocean pavilion,0,16
passage of inner reflection,0,15
the urchin,0,7
ultra light network,0,17
uncle ringo,0,15
artbox,1,2
artzoo,1,2
colourful garden of lights,1,6
dande-lier,1,2
gastrobeats,1,21
home,1,6
horizontal interference,1,24
HYBYCOZO,1,6
moonflower,1,7
ocean pavilion,1,8
passage of inner reflection,1,11
the urchin,1,3
ultra light network,1,17
uncle ringo,1,7
artbox,2,0
artzoo,2,4
colourful garden of lights,2,2
dande-lier,2,3
gastrobeats,2,17
home,2,7
horizontal interference,2,19
HYBYCOZO,2,5
moonflower,2,9
ocean pavilion,2,5
passage of inner reflection,2,8
the urchin,2,0
ultra light network,2,5
uncle ringo,2,5
artbox,3,0
artzoo,3,0
colourful garden of lights,3,4
dande-lier,3,3
gastrobeats,3,16
home,3,6
horizontal interference,3,17
HYBYCOZO,3,5
moonflower,3,9
ocean pavilion,3,7
passage of inner reflection,3,2
the urchin,3,0
ultra light network,3,7
uncle ringo,3,4
artbox,4,0
artzoo,4,0
colourful garden of lights,4,1
dande-lier,4,2
gastrobeats,4,11
home,4,6
horizontal interference,4,15
HYBYCOZO,4,6
moonflower,4,6
ocean pavilion,4,2
passage of inner reflection,4,6
the urchin,4,4
ultra light network,4,10
uncle ringo,4,5
artbox,5,1
artzoo,5,1
colourful garden of lights,5,3
dande-lier,5,1
gastrobeats,5,22
home,5,10
horizontal interference,5,27
HYBYCOZO,5,12
moonflower,5,12
ocean pavilion,5,3
passage of inner reflection,5,6
the urchin,5,2
ultra light network,5,8
uncle ringo,5,2
artbox,6,1
artzoo,6,2
colourful garden of lights,6,2
dande-lier,6,5
gastrobeats,6,31
home,6,11
horizontal interference,6,45
HYBYCOZO,6,4
moonflower,6,22
ocean pavilion,6,16
passage of inner reflection,6,16
the urchin,6,8
ultra light network,6,15
uncle ringo,6,22
