,Photo Num,Time,Group type,exhibition,extra,avg_color,DAY,MONTH,DATE,Days,Count,bucket,Hour,TIMESTAMP
1,1,day,none,marina,NA,#6a8e91,2,2,28,Sunday,332,59,11,1490700326000
2,2,night,couple,marina,NA,#565456,2,2,28,Monday,177,58,10,1490697835000
3,3,night,single male,marina,NA,#434143,2,2,28,Tuesday,120,58,10,1490697160000
4,4,night,none,dande-lier,NA,#a1fa4,2,2,28,Wednesday,109,57,9,1490693920000
5,5,night,single male,HYBYCOZO,NA,#413f3b,2,2,28,Thursday,109,55,7,1490686440000
6,6,day,none,marina,NA,#8d9199,2,2,28,Friday,158,54,6,1490682397000
7,7,day,none,marina,NA,#6a6e78,2,2,28,Saturday,271,53,5,1490677279000
8,8,night,single female,marina,NA,#292626,2,2,28,,,51,3,1490671045000
9,9,night,couple,horizontal interference,NA,#342630,2,2,28,,,48,0,1490662766000
10,10,day,single male,marina,NA,#a49386,2,2,28,,,47,23,1490658680000
11,11,night,none,horizontal interference,NA,#33284d,2,2,28,,,46,22,1490654857000
12,12,night,none,gastrobeats,NA,#363e53,2,2,28,,,45,21,1490651928000
13,13,night,single female,ocean pavilion,NA,#68759c,2,2,28,,,44,20,1490645690000
14,14,night,none,uncle ringo,NA,#3f3d3f,2,2,28,,,41,17,1490634544000
15,15,night,none,uncle ringo,NA,#51493d,2,2,28,,,39,15,1490630067000
16,16,day,none,marina,NA,#877b7b,1,2,27,,,39,15,1490628741000
17,17,day,single male,marina,NA,#76767c,1,2,27,,,38,14,1490626570000
18,18,night,none,ultra light network,NA,#2b2838,1,2,27,,,38,14,1490625130000
19,19,night,single female,gastrobeats,NA,#522a8c,1,2,27,,,38,14,1490623991000
20,20,night,none,moonflower,NA,#332e2d,1,2,27,,,37,13,1490622499000
21,21,night,none,home,NA,#1a1d29,1,2,27,,,37,13,1490621560000
22,22,day,single male,marina,NA,#89878c,1,2,27,,,37,13,1490620253000
23,23,night,single female,uncle ringo,NA,#514b42,1,2,27,,,36,12,1490619136000
24,24,night,single female,home,NA,#383e47,1,2,27,,,36,12,1490617300000
25,25,night,none,gastrobeats,NA,#1b1035,1,2,27,,,36,12,1490616661000
26,26,day,none,marina,NA,#a38890,1,2,27,,,35,11,1490614488000
27,27,night,none,home,NA,#242b34,1,2,27,,,35,11,1490614113000
28,28,night,none,ultra light network,NA,#14111a,1,2,27,,,35,11,1490613602000
29,29,day,single male,marina,NA,#c3c1c3,1,2,27,,,34,10,1490612192000
30,30,day,group,marina,female pair,#7e7078,1,2,27,,,34,10,1490611480000
31,31,night,none,uncle ringo,NA,#52381b,1,2,27,,,34,10,1490609109000
32,32,night,none,HYBYCOZO,NA,#3f2d33,1,2,27,,,33,9,1490607723000
33,33,night,none,secret galaxies,NA,#474434,1,2,27,,,32,8,1490605163000
34,34,night,single female,marina,NA,#3c4153,1,2,27,,,32,8,1490602209000
35,35,day,single male,marina,NA,#a5a2a5,1,2,27,,,31,7,1490598394000
36,36,day,single male,artbox,NA,#555556,1,2,27,,,30,6,1490596310000
37,37,day,group,radio,NA,#8c5f58,1,2,27,,,29,5,1490593110000
38,38,night,single male,marina,NA,#1110e,1,2,27,,,28,4,1490589312000
39,39,night,single female,passage of inner reflection,NA,#a3a1a3,1,2,27,,,28,4,1490587217000
40,40,day,single male,marina,NA,#7b7975,1,2,27,,,26,2,1490581106000
41,41,day,single female,marina,NA,#5f7178,1,2,27,,,25,1,1490577797000
42,42,night,none,ocean pavilion,NA,#152139,1,2,27,,,25,1,1490577346000
43,43,night,none,marina,NA,#221e27,1,2,27,,,24,0,1490575111000
44,44,night,single male,marina bay sands,NA,#674e5e,1,2,27,,,24,0,1490572985000
45,45,night,single female,ultra light network,NA,#352d2d,1,2,27,,,22,22,1490566043000
46,46,night,none,artbox,NA,#1e1612,1,2,27,,,18,18,1490554259000
47,47,day,group,marina,NA,#434f54,1,2,27,,,17,17,1490551063000
48,48,day,none,gastrobeats,NA,#5c7b8a,1,2,27,,,17,17,1490548434000
49,49,night,couple,gastrobeats,NA,#473c55,1,2,27,,,17,17,1490547742000
50,50,day,none,marina,NA,#a2a0a2,1,2,27,,,16,16,1490546976000
51,51,day,none,marina,NA,#808b8f,1,2,27,,,16,16,1490546512000
52,52,night,group,marina,female pair,#483b3e,1,2,27,,,16,16,1490546132000
53,53,night,none,marina,NA,#49443a,1,2,27,,,16,16,1490545620000
54,54,day,single male,marina,NA,#bdbbc1,1,2,27,,,16,16,1490544458000
55,55,day,none,marina,NA,#52667f,1,2,27,,,15,15,1490543870000
56,56,night,couple,marina,NA,#695747,0,2,26,,,15,15,1490543573000
57,57,night,single male,passage of inner reflection,NA,#dc84d7,0,2,26,,,15,15,1490542982000
58,58,night,none,ocean pavilion,NA,#152138,0,2,26,,,15,15,1490542580000
59,59,night,none,gastrobeats,food,#61473a,0,2,26,,,15,15,1490542058000
60,60,day,none,marina,NA,#717693,0,2,26,,,15,15,1490541712000
61,61,day,single female,marina,NA,#c0c1c0,0,2,26,,,15,15,1490541333000
62,62,night,none,gastrobeats,food,#beb2ad,0,2,26,,,15,15,1490540637000
