file,r,g,b
38,17,16,14
1005,165,177,187
1006,68,63,65
3,67,65,67
72,13,12,10
143,18,26,15
518,14,9,30
337,5,14,29
452,11,9,22
474,7,8,6
475,8,8,6
592,5,5,50
1050,7,6,7
1052,125,125,129
842,14,12,14
819,4,2,9
880,61,31,55
868,89,75,69
1252,20,18,28
1263,41,35,51
931,75,62,55
20,51,46,45
54,189,187,193
59,97,71,58
1021,8,7,6
101,58,46,50
1081,30,27,27
30,126,112,120
366,29,24,38
1029,84,64,110
1099,94,114,128
1129,24,15,27
1095,19,15,16
392,67,89,105
1163,150,151,159
210,21,39,65
62,190,178,173
214,148,133,136
63,137,131,136
506,81,139,239
96,95,93,100
73,85,102,104
111,36,40,44
299,14,11,44
85,94,124,176
389,22,17,24
125,20,17,17
381,42,18,69
643,176,208,228
638,22,22,30
172,21,39,64
199,80,46,23
365,113,109,114
431,75,69,113
265,12,8,28
275,78,65,69
279,37,32,39
305,17,11,49
224,108,123,141
311,139,122,119
222,69,76,109
238,17,19,22
630,47,45,47
333,30,32,62
658,79,77,79
583,21,24,52
342,32,30,30
416,21,29,34
327,20,18,20
393,118,119,121
319,25,20,20
449,60,30,75
683,66,68,83
686,235,181,109
453,43,33,85
488,226,224,227
455,51,36,32
532,147,158,171
670,32,36,37
768,135,137,140
1058,98,85,149
576,10,8,11
743,120,100,80
897,136,144,138
605,18,15,47
613,19,21,26
896,37,61,85
922,101,88,79
1151,94,70,108
713,234,231,233
677,192,189,192
696,27,32,46
716,181,183,193
704,94,152,214
907,202,191,186
903,3,1,7
673,42,40,45
1034,25,25,27
1035,37,30,44
1037,161,187,214
1027,120,115,114
728,231,221,230
874,47,45,48
1061,25,24,30
811,121,167,194
816,19,20,16
705,79,85,87
737,167,177,205
813,61,54,84
785,165,152,144
31,82,56,27
4,10,31,164
986,54,29,80
44,103,78,94
23,81,75,66
863,5,6,9
862,88,78,69
1192,38,28,43
867,165,145,169
1074,107,98,145
879,33,31,38
1202,68,79,135
138,52,35,27
14,63,61,63
955,39,31,18
1259,33,29,72
373,114,119,116
942,27,27,68
953,60,56,52
950,156,153,157
961,12,28,54
1253,44,34,60
1131,111,85,75
1215,121,111,122
1231,71,88,77
1226,171,166,176
1023,80,78,82
1238,14,13,29
1026,82,81,90
1063,96,91,93
57,220,132,215
46,30,22,18
56,105,87,71
24,56,62,71
100,42,72,114
505,84,80,86
36,85,85,86
107,56,54,68
16,135,123,123
1109,30,27,25
117,51,47,48
95,169,164,166
79,62,63,76
1123,200,212,228
116,52,50,52
67,125,136,140
1127,208,221,237
42,21,33,57
160,11,14,24
644,39,39,40
123,86,79,69
324,83,83,78
162,180,154,165
200,87,49,24
520,41,32,32
150,117,148,184
147,63,71,128
495,13,16,17
146,21,33,55
414,89,82,91
154,101,129,184
1177,35,54,68
1175,211,197,186
491,196,170,147
1170,20,14,20
192,71,70,121
201,95,93,102
1273,32,27,29
512,176,174,178
221,41,47,76
489,79,104,99
631,160,134,130
300,20,24,42
486,62,66,91
1234,119,101,138
34,60,65,83
492,180,152,138
501,20,16,35
61,192,193,192
1,106,142,145
209,45,41,38
6,141,145,153
1268,6,66,148
10,164,147,134
511,54,29,47
82,184,181,185
58,21,33,56
215,134,133,132
21,26,29,41
1267,23,19,21
507,46,40,35
115,151,149,149
